risk_envelope_mode,target_force_n,evaluations,task_successes,tracking_passes,mean_force_n,mean_mre,mean_nrmse,maximum_peak_force_n,violation_samples
force_only,5.0,5,5,5,4.7344063113270725,0.0531187377345854,0.06585462151948912,5.127384185791016,0
force_only,8.0,5,5,5,7.632758592866229,0.04590517589172134,0.10557026135207329,8.684822082519531,0
force_only,12.0,5,5,0,9.720984866643974,0.18991792777966876,0.21597595014978807,13.923944473266602,0
point_envelope,5.0,5,5,5,4.7344063113270725,0.0531187377345854,0.06585462151948912,5.127384185791016,0
point_envelope,8.0,5,5,5,7.632758592866229,0.04590517589172134,0.10557026135207329,8.684822082519531,0
point_envelope,12.0,5,5,0,9.720984866643974,0.18991792777966876,0.21597595014978807,13.923944473266602,0
calibrated,5.0,5,5,5,4.7344063113270725,0.0531187377345854,0.06585462151948912,5.127384185791016,0
calibrated,8.0,5,5,5,7.632758592866229,0.04590517589172134,0.10557026135207329,8.684822082519531,0
calibrated,12.0,5,5,0,9.71445994948434,0.19046167087630494,0.216662300989256,13.923944473266602,0
