activation_fraction,target_force_n,evaluations,task_successes,tracking_passes,mean_mre,mean_nrmse,maximum_peak_force_n,violation_samples,actor_step_fraction
0.7,5.0,5,5,5,0.049510637969398204,0.06119246502070724,4.958466529846191,0,0.2912298644847865
0.7,8.0,5,5,5,0.013671474992032296,0.08757039429238914,8.81955623626709,0,0.2744872090343397
0.7,12.0,5,5,4,0.13019360718262565,0.16083175468564398,13.689119338989258,0,0.2522833367160544
0.75,5.0,5,5,5,0.048694518180733115,0.060601759189065504,4.947452068328857,0,0.29378675530554843
0.75,8.0,5,5,5,0.011463989880345827,0.08741939920847976,8.804811477661133,0,0.2795946568401658
0.75,12.0,5,5,4,0.1336465712160981,0.16357832454290114,13.79748821258545,0,0.25115624371606676
0.8,5.0,5,5,5,0.0482502955052906,0.06024114062521074,4.948907375335693,0,0.2965235173824131
0.8,8.0,5,5,5,0.011648841899877804,0.08656992182499856,8.741423606872559,0,0.28607594936708863
0.8,12.0,5,5,5,0.12811408070640082,0.1591544642738383,13.78398323059082,0,0.2591321897073663
0.85,5.0,5,5,5,0.04800886934381463,0.060037927360217326,4.9507575035095215,0,0.3001022494887526
0.85,8.0,5,5,5,0.010919195947983028,0.08612463516258191,8.784353256225586,0,0.2947126436781609
0.85,12.0,5,5,5,0.12038141853830384,0.15320585553797877,14.057313919067383,0,0.3132700464552616
0.9,5.0,5,5,5,0.04763225052359819,0.05979555151002373,4.9673004150390625,0,0.3092256580628674
0.9,8.0,5,5,5,0.010331978682999532,0.08567444169114818,8.778860092163086,0,0.30958400367731553
0.9,12.0,5,5,5,0.10747574558568765,0.14443073699888792,14.489627838134766,0,0.4948223350253807
0.95,5.0,5,5,5,0.046327482053231964,0.05837062185444471,4.951994895935059,0,0.5569199283704273
0.95,8.0,5,5,5,0.009670810778959127,0.08549634476061681,8.755819320678711,0,0.3347116930852286
0.95,12.0,5,5,5,0.10162379713145682,0.14086868323051777,14.063873291015625,0,0.8810723644426527
