metric,difference_full_minus_fixed,interval_low,interval_high,bootstrap_repetitions
joint_pass,0.1111111111111111,0.037037037037037035,0.18518518518518517,10000
task_success,-0.007407407407407408,-0.044444444444444446,0.0,10000
tracking_pass,0.1111111111111111,0.037037037037037035,0.18518518518518517,10000
mean_relative_error,-0.018312520023226562,-0.02643992832063106,-0.008713885744677838,10000
target_normalized_rmse,-0.012839815234531008,-0.019394454267652614,-0.00478696375346912,10000
absolute_signed_bias,-0.018312520023226562,-0.02634370734574206,-0.008618389408127319,10000
peak_force_n,0.2467103675559715,0.04534914219820942,0.4280867603090073,10000
median_planning_ms,-25.652220763210682,-28.25009676708423,-23.089797677934616,10000
mean_planning_samples,-7.9674147347195685,-10.692520856229116,-4.769112094305958,10000
