training_seed,block_id,target_force_n,fixed_joint_pass,full_joint_pass,difference_joint_pass,fixed_task_success,full_task_success,difference_task_success,fixed_tracking_pass,full_tracking_pass,difference_tracking_pass,fixed_mean_relative_error,full_mean_relative_error,difference_mean_relative_error,fixed_target_normalized_rmse,full_target_normalized_rmse,difference_target_normalized_rmse,fixed_absolute_signed_bias,full_absolute_signed_bias,difference_absolute_signed_bias,fixed_peak_force_n,full_peak_force_n,difference_peak_force_n,fixed_median_planning_ms,full_median_planning_ms,difference_median_planning_ms,fixed_mean_planning_samples,full_mean_planning_samples,difference_mean_planning_samples
201,B0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.057345823395636764,0.03890963046063156,-0.018436192935005202,0.06416215048840117,0.052075379041136585,-0.012086771447264583,0.057345823395636764,0.03890963046063156,-0.018436192935005202,4.875093936920166,5.075050354003906,0.19995641708374023,99.3313980000039,73.98780700009411,-25.343590999909793,128.0,113.8735362997658,-14.126463700234197
201,B0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.05646606456048742,0.05234073780221726,-0.004125326758270154,0.10475448159419369,0.10078113580236957,-0.003973345791824123,0.05646606456048742,0.05234073780221726,-0.004125326758270154,8.207768440246582,8.260082244873047,0.052313804626464844,101.50115099997947,74.98096099971008,-26.520190000269395,128.0,115.51487414187643,-12.485125858123567
201,B0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.18755951857556274,0.17615732026498035,-0.011402198310582395,0.20442222540047303,0.19297684090511844,-0.011445384495354594,0.18755951857556274,0.17615732026498035,-0.011402198310582395,11.217916488647461,11.108500480651855,-0.10941600799560547,100.78843600001619,82.73729500024274,-18.05114099977345,128.0,130.72205736894165,2.7220573689416483
201,F1,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.03341372890658789,0.04237061063834382,0.008956881731755927,0.049392488805748126,0.05592640702586277,0.0065339182201146415,0.03341372890658789,0.04237061063834382,0.008956881731755927,5.03298807144165,4.991374969482422,-0.041613101959228516,101.38536900001327,74.47911300005217,-26.906255999961104,128.0,114.02816901408451,-13.971830985915489
201,F1,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.05318510472125626,0.04779087556035899,-0.005394229160897268,0.10663712142622854,0.10123286214870983,-0.005404259277518711,0.05318510472125626,0.04779087556035899,-0.005394229160897268,8.247882843017578,8.355499267578125,0.10761642456054688,101.74205100008749,76.32698599991272,-25.415065000174764,128.0,115.47667804323095,-12.523321956769053
201,F1,12.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1480633514453348,0.10158134376744081,-0.046482007677894,0.18212539386435225,0.1558737784339004,-0.026251615430451847,0.1480633514453348,0.10158134376744081,-0.046482007677894,11.116902351379395,11.801470756530762,0.6845684051513672,100.36485699993136,76.02669000016249,-24.338166999768873,128.0,117.03964757709251,-10.96035242290749
201,F2,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.08056481714998735,0.052487257055914324,-0.02807756009407303,0.0860878452128909,0.06268177235915288,-0.02340607285373801,0.08056481714998735,0.052487257055914324,-0.02807756009407303,4.899850845336914,4.916975498199463,0.017124652862548828,102.16329699983362,73.81936149977264,-28.34393550006098,128.0,113.90654205607477,-14.09345794392523
201,F2,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.059196514742715034,0.04859675381268902,-0.010599760930026014,0.10473575551560492,0.0953554966583228,-0.009380258857282123,0.059196514742715034,0.04859675381268902,-0.010599760930026014,8.2304105758667,8.385933876037598,0.15552330017089844,101.48499999991145,75.10078099994644,-26.384218999965015,128.0,115.14155251141553,-12.858447488584474
201,F2,12.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.1632913047480904,0.13559401666898166,-0.027697288079108734,0.1885308731226275,0.1710798972565324,-0.01745097586609512,0.1632913047480904,0.13559401666898166,-0.027697288079108734,12.056742668151855,12.67992877960205,0.6231861114501953,100.68395600001168,78.94678499997099,-21.73717100004069,128.0,123.43762376237623,-4.562376237623766
201,K1,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.07012692582912941,0.03363730765387256,-0.03648961817525685,0.07540016543396535,0.046000110595214264,-0.02940005483875109,0.07012692582912941,0.03363730765387256,-0.03648961817525685,4.790221214294434,4.971089839935303,0.18086862564086914,101.03725700014365,73.89021099970705,-27.147046000436603,128.0,113.8360655737705,-14.163934426229503
