block_id,condition_id,metric,stress_minus_nominal,ci95_low,ci95_high,status
B0,force_bias_m0p8n,nrmse,-0.0029442667952072443,-0.023394507668191032,0.0183164547373441,paired_seed_cluster_bootstrap_pointwise
B0,force_bias_m0p8n,contact_fraction,0.0018248378758352502,0.0001288353687916318,0.003975192814443059,paired_seed_cluster_bootstrap_pointwise
B0,force_bias_m0p8n,peak_force_n,1.1955301602681478,1.0274066925048828,1.3703043619791668,paired_seed_cluster_bootstrap_pointwise
B0,force_bias_m0p8n,violation_episode,0.0,0.0,0.0,paired_seed_cluster_bootstrap_pointwise
B0,force_bias_m0p8n,episode_length_samples,6.133333333333334,-0.6666666666666667,14.933333333333332,paired_seed_cluster_bootstrap_pointwise
B0,force_bias_p0p4n,compound_pass,-0.06666666666666667,-0.2,0.0,paired_seed_cluster_bootstrap_pointwise
B0,force_bias_p0p4n,task_success,0.0,0.0,0.0,paired_seed_cluster_bootstrap_pointwise
B0,force_bias_p0p4n,tracking_pass,-0.06666666666666667,-0.2,0.0,paired_seed_cluster_bootstrap_pointwise
B0,force_bias_p0p4n,safety_pass,0.0,0.0,0.0,paired_seed_cluster_bootstrap_pointwise
B0,force_bias_p0p4n,mre,0.045294881270108604,0.0435483015655186,0.0464456998674044,paired_seed_cluster_bootstrap_pointwise
B0,force_bias_p0p4n,nrmse,0.034546911923086135,0.03088667513707962,0.03839979210691531,paired_seed_cluster_bootstrap_pointwise
B0,force_bias_p0p4n,contact_fraction,-0.0029728817903192923,-0.005143162828664745,-0.0014321278060980787,paired_seed_cluster_bootstrap_pointwise
B0,force_bias_p0p4n,peak_force_n,-0.387157917022705,-0.5081969579060872,-0.2661188761393229,paired_seed_cluster_bootstrap_pointwise
B0,force_bias_p0p4n,violation_episode,0.0,0.0,0.0,paired_seed_cluster_bootstrap_pointwise
B0,force_bias_p0p4n,episode_length_samples,-3.6666666666666665,-8.0,1.6666666666666667,paired_seed_cluster_bootstrap_pointwise
B0,force_bias_p0p8n,compound_pass,-0.5333333333333333,-0.6666666666666666,-0.39999999999999997,paired_seed_cluster_bootstrap_pointwise
B0,force_bias_p0p8n,task_success,0.0,0.0,0.0,paired_seed_cluster_bootstrap_pointwise
B0,force_bias_p0p8n,tracking_pass,-0.5333333333333333,-0.6666666666666666,-0.39999999999999997,paired_seed_cluster_bootstrap_pointwise
B0,force_bias_p0p8n,safety_pass,0.0,0.0,0.0,paired_seed_cluster_bootstrap_pointwise
B0,force_bias_p0p8n,mre,0.09412250173227694,0.0893947036928064,0.10015666612547798,paired_seed_cluster_bootstrap_pointwise
B0,force_bias_p0p8n,nrmse,0.07805296900388156,0.0741593166714614,0.08246147395678917,paired_seed_cluster_bootstrap_pointwise
B0,force_bias_p0p8n,contact_fraction,-0.005199371044112463,-0.007873629230622277,-0.003183518692748577,paired_seed_cluster_bootstrap_pointwise
B0,force_bias_p0p8n,peak_force_n,-0.8044137001037598,-0.976780891418457,-0.6846627871195475,paired_seed_cluster_bootstrap_pointwise
B0,force_bias_p0p8n,violation_episode,0.0,0.0,0.0,paired_seed_cluster_bootstrap_pointwise
B0,force_bias_p0p8n,episode_length_samples,-10.466666666666665,-17.066666666666666,-1.9983333333333575,paired_seed_cluster_bootstrap_pointwise
B0,force_noise_rms_0p035n,compound_pass,0.06666666666666667,0.0,0.2,paired_seed_cluster_bootstrap_pointwise
